Date,Description,Debit,Credit,Balance
08-02-2024,RTGS Dr-CNRB202402080003-UTIB0004444-RELIABLE PACKAGING SOLUTIONS-/NONE,182000.00,,1544039.00
09-02-2024,NEFT Cr-320225890056-PUNB0005555-CRYSTAL PHARMA LTD--,,165205.00,1709244.00
12-02-2024,NEFT Cr-320225890067-ICIC0006666-VANGUARD ELECTRONICS LTD--,,224960.00,1934204.00
13-02-2024,RTGS Dr-CNRB202402130005-HDFC0007777-STARLINE DISTRIBUTORS PVT LTD-/NONE,195000.00,,1739204.00
14-02-2024,UPI/DR/402225890089/NEHA JOSHI/UPI-TRANSFER TO 6543210987,6800.00,,1732404.00
15-02-2024,NEFT Cr-320225890090-SBIN0008888-SAPPHIRE TEXTILES PVT LTD--,,182780.00,1915184.00
16-02-2024,IMPS Dr-670498161012-SANJAY KUMAR,5100.00,,1910084.00
19-02-2024,NEFT Cr-320225890101-KKBK0009999-MONARCH INDUSTRIES LTD--,,200355.00,2110439.00
21-02-2024,RTGS Dr-CNRB202402210007-UTIB0001234-GREENFIELD LOGISTICS LTD-/NONE,160000.00,,1950439.00
22-02-2024,NEFT Cr-320225890112-HDFC0002345-PIONEER AGRO EXPORTS LTD--,,214415.00,2164854.00
23-02-2024,IMPS Dr-670498161234-KAVITHA RAO,4500.00,,2160354.00
26-02-2024,NEFT Cr-320225890123-PUNB0003456-CRYSTAL PHARMA LTD--,,153254.00,2313608.00
27-02-2024,RTGS Dr-CNRB202402270009-SBIN0004567-RELIABLE PACKAGING SOLUTIONS-/NONE,178000.00,,2135608.00
28-02-2024,NEFT Cr-320225890134-ICIC0005678-VANGUARD ELECTRONICS LTD--,,200355.00,2335963.00
02-03-2024,NEFT Cr-330325890012-HDFC0006789-SAPPHIRE TEXTILES PVT LTD--,,203870.00,2539833.00
04-03-2024,RTGS Dr-CNRB202403040001-KKBK0007890-GREENFIELD LOGISTICS LTD-/NONE,148000.00,,2391833.00
05-03-2024,IMPS BRN SALARY TRF BY-MONARCH INDUSTRIES LTD,,140600.00,2532433.00
06-03-2024,UPI/DR/403325890034/AMIT SHAH/UPI-TRANSFER TO 5432109876,8900.00,,2523533.00
07-03-2024,NEFT Cr-330325890045-SBIN0008901-PIONEER AGRO EXPORTS LTD--,,219336.00,2742869.00
08-03-2024,RTGS Dr-CNRB202403080003-UTIB0009012-STARLINE DISTRIBUTORS PVT LTD-/NONE,186000.00,,2556869.00
12-03-2024,NEFT Cr-330325890056-PUNB0000123-CRYSTAL PHARMA LTD--,,160284.00,2717153.00
13-03-2024,IMPS Dr-670498161456-RITU AGARWAL,5700.00,,2711453.00
14-03-2024,NEFT Cr-330325890067-ICIC0001234-VANGUARD ELECTRONICS LTD--,,214415.00,2925868.00
15-03-2024,RTGS Dr-CNRB202403150005-HDFC0002345-RELIABLE PACKAGING SOLUTIONS-/NONE,170000.00,,2755868.00
18-03-2024,NEFT Cr-330325890078-SBIN0003456-SAPPHIRE TEXTILES PVT LTD--,,179265.00,2935133.00
19-03-2024,UPI/DR/403325890089/POOJA MISHRA/UPI-TRANSFER TO 4321098765,7600.00,,2927533.00
22-03-2024,NEFT Cr-330325890090-KKBK0004567-MONARCH INDUSTRIES LTD--,,195434.00,3122967.00
23-03-2024,RTGS Dr-CNRB202403230007-UTIB0005678-GREENFIELD LOGISTICS LTD-/NONE,152000.00,,2970967.00
25-03-2024,NEFT Cr-330325890101-HDFC0006789-PIONEER AGRO EXPORTS LTD--,,207385.00,3178352.00
26-03-2024,IMPS Dr-670498161678-SURESH PILLAI,4200.00,,3174152.00
27-03-2024,NEFT Cr-330325890112-PUNB0007890-CRYSTAL PHARMA LTD--,,151145.00,3325297.00
28-03-2024,RTGS Dr-CNRB202403280009-SBIN0008901-STARLINE DISTRIBUTORS PVT LTD-/NONE,168000.00,,3157297.00
29-03-2024,NEFT Cr-330325890123-ICIC0009012-VANGUARD ELECTRONICS LTD--,,217930.00,3375227.00
